index,ODDO1,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30
3675208,1575357.539972,-4.145454714732135,-4.238209707875139,-2.7376071658569345,-3.8136936620642112,-2.422433398523378,-2.2784126345018803,-1.498997509371441,-1.5443796667852374,-2.2720510122863278,-1.1222369161547041,0.19979875053119067,0.36942737607178144,0.19824696055324348,-13.598261084499416,-1.7867644607083906,-2.684815295241539,-2.44220631656816,-2.9731172373370938,-3.403038139938592,-2.5274045842290436,-2.9889666258054266,-2.1552747666153804,-0.8414762689948319,0.0
3675209,1575357.974369,-4.143269955049199,-4.10781842261738,-2.6793455860863267,-3.8136936620642112,-2.3719781727392037,-2.165104103310578,-1.3761894296371462,-1.6399924439408922,-2.395238299287907,-1.1222369161547041,0.1401683477229129,0.3517407359697028,0.1595753582087492,-13.598261084499416,-1.682374196013709,-2.7052941696834534,-2.3889166691628922,-2.9731172373370938,-3.403038139938592,-2.534244937800917,-3.0994196879686515,-2.267391969907793,-0.9882933870678546,0.0
3675210,1575358.408766,-4.123075176414752,-4.10781842261738,-2.6793455860863267,-3.6486419683512876,-2.314001671061737,-2.1262457900122422,-1.341602262353518,-1.6399924439408922,-2.395238299287907,-1.2359010526228411,0.10504273575149797,0.302460369215387,0.11040061548667368,-13.598261084499416,-1.682374196013709,-2.7052941696834534,-2.3889166691628922,-2.9731172373370938,-3.328446905006582,-2.596413979835568,-3.1555472637450017,-2.267391969907793,-0.9882933870678546,0.0
3675211,1575358.843163,-4.123075176414752,-3.9908991564111136,-2.533663216376993,-3.470112680713877,-2.314001671061737,-2.1262457900122422,-1.341602262353518,-1.7108309051895754,-2.497943749409474,-1.2289579036863987,0.06355710173082094,0.2708457610518131,0.08933169174715173,-13.759974847286838,-1.6117972996657828,-2.6892950490257075,-2.275567123774535,-2.771146136462398,-3.328446905006582,-2.596413979835568,-3.1555472637450017,-2.267391969907793,-0.9882933870678546,0.0
3675212,1575359.27756,-4.085269334944809,-3.9156189116248115,-2.404900388370147,-3.470112680713877,-2.265407177594914,-1.9690199954571108,-1.2723294449637002,-1.725113470619715,-2.5758813852132625,-1.2289579036863987,-0.038327957372064236,0.2603423608495162,0.06824188701284334,-13.856445771581887,-1.5334667785850995,-2.664123099190855,-2.239534977842148,-2.771146136462398,-3.28771754158158,-2.5989155948561384,-3.2388938980082105,-2.3764413843269763,-1.3302393194186752,0.0
3675213,1575359.711957,-3.9820916841793514,-3.9156189116248115,-2.404900388370147,-3.4430207636511763,-2.175661119930673,-1.798051383794931,-1.2093989213468481,-1.725113470619715,-2.5758813852132625,-1.3186801472702523,-0.1114474265527966,0.2428645358608033,0.06122587276459816,-13.856445771581887,-1.5334667785850995,-2.664123099190855,-2.239534977842148,-2.771146136462398,-3.263976184480038,-2.6355994338687254,-3.264329638870068,-2.3764413843269763,-1.3302393194186752,0.0
3675214,1575360.146355,-3.9820916841793514,-3.72190525439879,-2.29337919860436,-3.2726366306029124,-2.175661119930673,-1.798051383794931,-1.2093989213468481,-1.7733984974492227,-2.674439115233766,-1.3671425287835233,-0.1185764708759891,0.2077000707700118,0.07174989413696592,-13.979494531311895,-1.5503545514786414,-2.625298566394726,-2.139972469344762,-2.546253910840152,-3.250393388830598,-2.6355994338687254,-3.264329638870068,-2.395114881816195,-1.4078353940007895,0.0
3675215,1575360.580752,-3.8883179990056638,-3.6320853233450974,-2.29337919860436,-3.2726366306029124,-2.1413452986675234,-1.6601252845683936,-1.1584833020825092,-1.8009489152159404,-2.7154225400418914,-1.3671425287835233,-0.1570691533440722,0.16203220547692337,0.015559137166645212,-13.979494531311895,-1.5503545514786414,-2.625298566394726,-2.139972469344762,-2.546253910840152,-3.250393388830598,-2.647462561349088,-3.3102829183016746,-2.481775153837591,-1.519891427971662,0.0
3675216,1575361.015149,-3.8634687323510475,-3.6320853233450974,-2.226477852858013,-3.1644642898002893,-2.0883438076069742,-1.5303253728486332,-1.1608665863884997,-1.8009489152159404,-2.7154225400418914,-1.4941941736894555,-0.18506572099229462,0.1234014095042605,0.022575151414890384,71.58782923487446,-1.521174446691704,-2.5180171900569714,-2.1039023948377094,-2.37815303397258,-3.2368105931811573,-2.6722637290139644,-3.2999959913700896,-2.481775153837591,-1.519891427971662,0.0
3675217,1575361.449546,-3.8634687323510475,-3.4425452743266716,-2.077233474369208,-3.0171483283821985,-2.0883438076069742,-1.5303253728486332,-1.1608665863884997,-1.8554179482571573,-2.7768482996338286,-1.603349253664386,-0.24432200485649813,0.12690950340880502,-0.019625339048512866,-14.10494679123196,-1.4989158703247403,-2.419869857149275,-2.026603959669072,-2.292303003099937,-3.2076285084105116,-2.681605697606408,-3.2999959913700896,-2.611517852209113,-1.6375370894348675,0.0
3675218,1575361.883943,-3.7697330429979323,-3.267234317476466,-2.077233474369208,-3.0171483283821985,-2.0466438170423364,-1.399509687690525,-1.114303907881383,-1.8967531476722672,-2.898672764316487,-1.603349253664386,-0.2618640264564237,0.07422545030662751,0.0015271086701548683,-14.10494679123196,-1.4989158703247403,-2.3947560859349957,-1.9116234855700909,-2.131002691343415,-3.2076285084105116,-2.681605697606408,-3.3271399627990537,-2.7256929511431944,-1.7236399371702964,0.0
3675219,1575362.31834,-3.729191502446748,-3.267234317476466,-1.991385273412908,-2.9464983903751403,-1.9410129813847081,-1.262579444776093,-1.0772349734692028,-1.8967531476722672,-2.898672764316487,-1.651671974135832,-0.3003359245387249,0.06370116859299396,-0.015992045955671618,-14.165312962672047,-1.562627972092201,-2.3011466854320415,-1.9116234855700909,-2.131002691343415,-3.1648255809437886,-2.608257563448582,-3.315313751180625,-2.7256929511431944,-1.7236399371702964,0.0
3675220,1575362.752738,-3.729191502446748,-3.0361523076940666,-1.7938453609939304,-2.741306906061027,-1.9410129813847081,-1.262579444776093,-1.0772349734692028,-1.9242844199089175,-2.9536399311796258,-1.6751549807398336,-0.31781559298130474,0.04263172365439028,0.05070185139223041,-14.165312962672047,-1.562627972092201,-2.3011466854320415,-1.9116234855700909,-2.131002691343415,-3.1648255809437886,-2.608257563448582,-3.315313751180625,-2.7256929511431944,-1.7236399371702964,0.0
3675221,1575363.187135,-3.617844750258137,-2.9034121545613347,-1.602008451993149,-2.741306906061027,-1.8459981132639673,-1.2327635067916705,-1.0332328483486872,-1.953711099622222,-2.978071977679698,-1.6751549807398336,-0.3702545983090443,-0.041625174588687884,-0.08268594330357364,-14.270126470960115,-1.6117972996657828,-2.1457903756269525,-1.6746457510589798,-1.925261917886271,-3.1364044371058846,-2.5547464546491874,-3.3509801036806466,-2.946992950979713,-1.9934476803692265,0.0
3675222,1575363.621532,-3.53985832853245,-2.9034121545613347,-1.602008451993149,-2.6127033141786735,-1.7606590531934525,-1.2588549421688204,-0.9498178976390258,-1.953711099622222,-2.978071977679698,-1.7139208956349696,-0.4017221583828444,0.08477061353159765,0.04715208227853493,-14.270126470960115,-1.6117972996657828,-2.1457903756269525,-1.6746457510589798,-1.925261917886271,-3.1364044371058846,-2.5230463018103935,-3.3406931767490615,-3.0563662934165667,-1.9934476803692265,0.0
3675223,1575364.055929,-3.53985832853245,-2.695372344511102,-1.4575007873068324,-2.3832912262901194,-1.7606590531934525,-1.2588549421688204,-0.9498178976390258,-1.967476735740547,-3.0864459786060516,-1.741513927184107,-0.3982095971857029,0.06370116859299396,0.06122587276459816,-14.36060606144807,-1.6839249209602603,-1.9724180863175658,-1.4854200920519482,-1.86329910875467,-3.1364044371058846,-2.5230463018103935,-3.3406931767490615,-3.0563662934165667,-1.9934476803692265,0.0
3675224,1575364.490326,-3.472168774181994,-2.57449300354042,-1.3359188174245595,-2.3832912262901194,-1.6268821929038917,-1.2929729794215366,-0.9335288387873399,-1.967476735740547,-3.134065755575878,-1.741513927184107,-0.4192018268254243,0.03208656042942015,0.05068097039744396,-14.36060606144807,-1.6808045597873216,-1.8104681995141327,-1.4067941567700126,-1.86329910875467,-3.078021244041274,-2.412369381017489,-3.328885736895107,-3.22286529449901,-2.531971589681042,0.0
3675225,1575364.924723,-3.4145481122833323,-2.57449300354042,-1.3359188174245595,-2.06779833198821,-1.474772222624429,-1.4752545187892288,-0.8732376548151384,-1.967476735740547,-3.134065755575878,-1.8066558274067623,-0.4331689340708626,0.018033303299905504,0.07177077513175237,-14.378632312873485,-1.696160519014148,-1.6713825105961324,-1.2505284291474488,-1.7983811794076825,-3.0323838116000874,-2.368825644565681,-3.328885736895107,-3.3167282012662476,-2.7040267227952035,0.0
